Product Code,Material Description,Pack Size,New MRP / Kit (with GST),CTP,Saarthi Price,New TP (1-50),Assorted 50,Assorted 100
MALTIA-01,Micro Albumin,1 x 40 / 1 x 10,"5,900","3,000","2,692","2,369","2,211","2,211"
CRPTIA-01,CRP,1 x 40 / 1 x 10,"3,710","1,900","1,692","1,489","1,390","1,324"
HBATIA-01,HbA1c,2 x 15 / 2 x 5 / 2 x 50 / 4 x 0.5,"44,800","14,500","13,068","11,500","11,000","10,500"
HBATIA-02,HbA1c,1 x 15 / 1 x 5 / 2 x 25 / 4 x 0.5,"35,060","11,500","10,227","9,000","8,700","8,500"
ASOLIT-01,ASO,1 x 40 / 1 x 10,"12,630","5,537","4,864","4,280","3,800","3,500"
CRPLIT-01,CRP,1 x 40 / 1 x 10,"4,010","2,350","1,989","1,750","1,650","1,350"
RHFLIT-01,RF,1 x 40 / 1 x 10,"5,820","2,800","2,449","2,155","2,155","2,155"
