Material Code,Material Description,Pack Size,MRP Rs.,Customer TP Rs.,Saarthi TP Rs.,TP Rs.,>=3 Kits Rs.
BDTCCR-02,Diluent,20 L,"10,010","4,470","4,150","3,497","3,300"
CLYCCR-03,Lyse,500 mL,"15,750","7,030","6,350","5,500","5,000"
