 Sr.No , SKU Code , Short Specification , Detailed Specification , UOM , Units , LOB , Portfolio , Brand , Sub Brand , Speciality , Section , GST % 
41,APDX01 9352,GT- Polydioxanone  Violet 1 X 90-40MM 1/2 Circle Round Body,POLYDIOXANONE VIOLET  1 X 90-40MM 1/2 CIRCLE ROUND BODY  ,DZ,  12 , Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
42,APDX019352Q1,SP- Polydioxanone  Violet 1 X 90-40MM 1/2 Circle Round Body,POLYDIOXANONE VIOLET  1 X 90-40MM 1/2 CIRCLE ROUND BODY  ,DZ,  12 , Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
43,APGA01 2347,GT-Polyglycolic Acid   Violet 1 X 90-40MM 1/2 Circle Round Body,POLYGLYCOLIC ACID VIOLET  1 X 90-40MM 1/2 CIRCLE ROUND BODY  ,DZ,  12 , Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
44,APGA01 2347DN,GT-Polyglycolic Acid   Violet 1 X 140-40MM 1/2 Circle Round Body Taper Cut Double  Needle ,POLYGLYCOLIC ACID VIOLET  1 X 140-40MM 1/2 CIRCLE ROUND BODY  TAPERCUT DOUBLE NEEDLE  ,DZ,  12 , Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
45,APGA01 2347DNL,GT-Polyglycolic Acid   Violet 1 X 180-40MM 1/2 Circle Round Body Taper Cut Double  Needle ,POLYGLYCOLIC ACID VIOLET  1 X 180-40MM 1/2 CIRCLE ROUND BODY  TAPERCUT DOUBLE NEEDLE  ,DZ,  12 , Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
46,APGA01 2421,GT-Polyglycolic Acid   Violet 1 X 90-40MM 1/2 Circle Reverse Cutting,POLYGLYCOLIC ACID VIOLET  1 X 90-40MM 1/2 CIRCLE REVERSE CUTTING  ,DZ,  12 , Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
47,APGA01 2826,GT-Polyglycolic Acid   Violet 1 X 35-23MM 1/2 Circle Reverse Cutting,POLYGLYCOLIC ACID VIOLET  1 X 35-23MM 1/2 CIRCLE REVERSE CUTTING  ,DZ,  12 , Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
48,APGA10 2346,GT-Polyglycolic Acid   Violet 0 X 90-40MM 1/2 Circle Round Body,POLYGLYCOLIC ACID VIOLET  0 X 90-40MM 1/2 CIRCLE ROUND BODY  ,DZ,  12 , Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
49,APGA10 2346DN,GT-Polyglycolic Acid   Violet 0 X 140-40MM 1/2 Circle Round Body Taper Cut Double  Needle ,POLYGLYCOLIC ACID VIOLET  0 X 140-40MM 1/2 CIRCLE ROUND BODY  TAPERCUT DOUBLE NEEDLE  ,DZ,  12 , Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
50,APGA10 2346DNL,GT-Polyglycolic Acid   Violet 0 X 180-40MM 1/2 Circle Round Body Taper Cut Double  Needle ,POLYGLYCOLIC ACID VIOLET  0 X 180-40MM 1/2 CIRCLE ROUND BODY  TAPERCUT DOUBLE NEEDLE  ,DZ,  12 , Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5