Product Code,Material Description,Pack Size (ml),New MRP / Kit (with GST) Rs.,Customer Trade Price Rs.,Saarthi Price Rs.,Transfer Price Rs.,Assorted 25 Kits Rs.,Assorted 50 Kits Rs.
BDTCCR-10,Blood Diluent,20 L,"7,910","3,750","3,250","2,900","2,700","2,600"
CLYCCR-09,Cell Lyse,500 mL,"7,910","3,750","3,250","2,900","2,700","2,600"
CLZCCR-06,Rinse,10 L,"7,600","3,650","3,150","2,800","2,600","2,500"
PBCCCR-01,Probe Cleaner,50 mL,"2,750","1,200","1,100","1,000",900,870
EZCCCR-01,Enz Cleaner,70 mL,"2,990","1,300","1,200","1,100","1,000",944
