Product Code,Material Description,Pack Size (ml/L),MRP Rs.,DB Price Rs.
BDFCCR-02,"Diluent (5PDA) - Sample dilution, rinsing and sheath formation",20 L,"6,720","1,700"
FBHCCR-01,"FBH Lyse - Dissolve RBCs, platelets, combined with hemoglobin and remove cell membrane of WBCs (exclude basophil)",500 mL,"25,200","6,375"
FDOCCR-02,FDOI Lyse - Staining of WBCs and firming reagent,500 mL,"6,050","1,530"
FDTCCR-02,FDTI Lyse - Dissolve RBCs and specialize different types of WBCs,200 mL,"7,800","1,972"
DETCCR-05,CelQuant-5 Detergent,4 x 100 mL,"9,410","2,380"
CRLCCR-02,CONTROL LEVEL 1,2.5 mL,"15,830","4,005"
CRNCCR-02,CONTROL LEVEL 2,2.5 mL,"15,830","4,005"
CRHCCR-02,CONTROL LEVEL 3,2.5 mL,"15,830","4,005"
