Product Code,Material Description,Pack Size (ml),MRP,CTP,Saarthi,TP
STAELC-02,STD A,6 x 250 ml,"19,940","11,128","8,902","7,567"
STBELC-02,STD B,2 x 250 ml,"6,000","3,349","2,679","2,277"
CLNELC-02,CLEANING SOLUTION,1 x 110 ml,"5,730","3,198","2,558","2,174"
DEPELC-02,Electrode Deprotein. Washing Solution,1 x 110 ml,"3,620","2,020","1,616","1,373"
ACTELC-02,ACTIVATING SOLUTION,1 x 110 ml,"5,730","3,198","2,558","2,174"
QCSELC-02,QC SOLUTION,1 x 110 ml,"3,650","2,039","1,631","1,386"
EISELC-02,ELECTRODE INTERNAL SOLUTION,1 x 3 ml,"2,660","1,483","1,186","1,008"
REFELC-02,REFERENCE ELECTRODE INTERNAL SOLUTION,1 x 10 ml,"3,650","2,039","1,631","1,386"
