Product Code,Material Description,Pack Size,New MRP / Kit (with GST),New CTP,SAARTHI Price,New TP (1-50),New Slab-2 (51-100),New Slab-3 (101-200)
ALPFDR-02,ALKALINE PHOSPHATASE,5 x 10,"1,200",790,695,521,521,521
GLUFDR-02,GLUCOSE FDR,5 x 100,"1,260",819,721,635,575,438
GLUFDR-04,GLUCOSE (With 2 Stds),5 x 1000,"3,920","2,748","2,471","2,175","2,100","2,000"
GOTFDR-02,SGOT FDR,5 x 10,930,605,532,470,425,335
GPTFDR-02,SGPT FDR,5 x 10,930,605,532,470,425,335
UREFDR-02,UREA FDR,4 x 50,"3,090","2,009","1,768","1,555","1,350","1,049"
